HBWv8.1_Order,HBWv8.1_Family,HBWv8.1_Subfamily,HBWv8.1_Tribe,HBWv8.1_Common_name,HBWv8.1_Binomial,HBWv8.1_Genus,IUCN_2023,HBWv8.1_Synonyms
PROCELLARIIFORMES,Procellariidae,NA,NA,Magellanic Diving-petrel,Pelecanoides_magellani,Pelecanoides,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,South Georgia Diving-petrel,Pelecanoides_georgicus,Pelecanoides,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Common Diving-petrel,Pelecanoides_urinatrix,Pelecanoides,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Dalmatian Pelican,Pelecanus_crispus,Pelecanus,NT,NA
PELECANIFORMES,Pelecanidae,NA,NA,Spot-billed Pelican,Pelecanus_philippensis,Pelecanus,NT,NA
PELECANIFORMES,Pelecanidae,NA,NA,Pink-backed Pelican,Pelecanus_rufescens,Pelecanus,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Australian Pelican,Pelecanus_conspicillatus,Pelecanus,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Great White Pelican,Pelecanus_onocrotalus,Pelecanus,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Brown Pelican,Pelecanus_occidentalis,Pelecanus,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Peruvian Pelican,Pelecanus_thagus,Pelecanus,NT,NA
PELECANIFORMES,Pelecanidae,NA,NA,American White Pelican,Pelecanus_erythrorhynchos,Pelecanus,LC,NA
SULIFORMES,Fregatidae,NA,NA,Lesser Frigatebird,Fregata_ariel,Fregata,LC,NA
SULIFORMES,Fregatidae,NA,NA,Great Frigatebird,Fregata_minor,Fregata,LC,NA
SULIFORMES,Fregatidae,NA,NA,Christmas Island Frigatebird,Fregata_andrewsi,Fregata,VU,NA
SULIFORMES,Fregatidae,NA,NA,Magnificent Frigatebird,Fregata_magnificens,Fregata,LC,NA
SULIFORMES,Fregatidae,NA,NA,Ascension Frigatebird,Fregata_aquila,Fregata,VU,NA
SULIFORMES,Sulidae,NA,NA,Abbott's Booby,Papasula_abbotti,Papasula,EN,NA
SULIFORMES,Sulidae,NA,NA,Northern Gannet,Morus_bassanus,Morus,LC,Sula bassana
SULIFORMES,Sulidae,NA,NA,Cape Gannet,Morus_capensis,Morus,EN,NA
SULIFORMES,Sulidae,NA,NA,Australasian Gannet,Morus_serrator,Morus,LC,Sula serrator
SULIFORMES,Sulidae,NA,NA,Red-footed Booby,Sula_sula,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Brown Booby,Sula_leucogaster,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Blue-footed Booby,Sula_nebouxii,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Peruvian Booby,Sula_variegata,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Masked Booby,Sula_dactylatra,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Nazca Booby,Sula_granti,Sula,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Crowned Cormorant,Microcarbo_coronatus,Microcarbo,LC,Phalacrocorax coronatus
SULIFORMES,Phalacrocoracidae,NA,NA,Long-tailed Cormorant,Microcarbo_africanus,Microcarbo,LC,Phalacrocorax africanus
SULIFORMES,Phalacrocoracidae,NA,NA,Pygmy Cormorant,Microcarbo_pygmaeus,Microcarbo,LC,Phalacrocorax pygmaeus; Halietor pygmeus
SULIFORMES,Phalacrocoracidae,NA,NA,Little Cormorant,Microcarbo_niger,Microcarbo,LC,Phalacrocorax niger
SULIFORMES,Phalacrocoracidae,NA,NA,Little Pied Cormorant,Microcarbo_melanoleucos,Microcarbo,LC,Microcarbo melanoleucos; Phalacrocorax melanoleucos
SULIFORMES,Phalacrocoracidae,NA,NA,Red-legged Cormorant,Poikilocarbo_gaimardi,Poikilocarbo,NT,Phalacrocorax gaimardi
SULIFORMES,Phalacrocoracidae,NA,NA,Rock Shag,Leucocarbo_magellanicus,Leucocarbo,LC,Phalacrocorax magellanicus
SULIFORMES,Phalacrocoracidae,NA,NA,Guanay Cormorant,Leucocarbo_bougainvilliorum,Leucocarbo,NT,Phalacrocorax bougainvilliorum
SULIFORMES,Phalacrocoracidae,NA,NA,Imperial Shag,Leucocarbo_atriceps,Leucocarbo,LC,Phalacrocorax atriceps
SULIFORMES,Phalacrocoracidae,NA,NA,Kerguelen Islands Shag,Leucocarbo_verrucosus,Leucocarbo,LC,Phalacrocorax verrucosus
SULIFORMES,Phalacrocoracidae,NA,NA,Rough-faced Shag,Leucocarbo_carunculatus,Leucocarbo,VU,Phalacrocorax carunculatus
SULIFORMES,Phalacrocoracidae,NA,NA,Stewart Island Shag,Leucocarbo_chalconotus,Leucocarbo,VU,Phalacrocorax chalconotus
SULIFORMES,Phalacrocoracidae,NA,NA,Chatham Islands Shag,Leucocarbo_onslowi,Leucocarbo,CR,Phalacrocorax onslowi
SULIFORMES,Phalacrocoracidae,NA,NA,Campbell Island Shag,Leucocarbo_campbelli,Leucocarbo,VU,Phalacrocorax campbelli
SULIFORMES,Phalacrocoracidae,NA,NA,Bounty Islands Shag,Leucocarbo_ranfurlyi,Leucocarbo,VU,Phalacrocorax ranfurlyi
SULIFORMES,Phalacrocoracidae,NA,NA,Auckland Islands Shag,Leucocarbo_colensoi,Leucocarbo,VU,Phalacrocorax colensoi
SULIFORMES,Phalacrocoracidae,NA,NA,Double-crested Cormorant,Nannopterum_auritum,Nannopterum,LC,Phalacrocorax auritus
SULIFORMES,Phalacrocoracidae,NA,NA,Neotropical Cormorant,Nannopterum_brasilianum,Nannopterum,LC,Phalacrocorax brasilianus
SULIFORMES,Phalacrocoracidae,NA,NA,Flightless Cormorant,Nannopterum_harrisi,Nannopterum,VU,Phalacrocorax harrisi
SULIFORMES,Phalacrocoracidae,NA,NA,Brandt's Cormorant,Urile_penicillatus,Urile,LC,Phalacrocorax penicillatus
SULIFORMES,Phalacrocoracidae,NA,NA,Pelagic Cormorant,Urile_pelagicus,Urile,LC,Phalacrocorax pelagicus
SULIFORMES,Phalacrocoracidae,NA,NA,Red-faced Cormorant,Urile_urile,Urile,LC,Phalacrocorax urile
SULIFORMES,Phalacrocoracidae,NA,NA,Spectacled Cormorant,Urile_perspicillatus,Urile,EX,Phalacrocorax perspicillatus
SULIFORMES,Phalacrocoracidae,NA,NA,European Shag,Gulosus_aristotelis,Gulosus,LC,Phalacrocorax aristotelis
SULIFORMES,Phalacrocoracidae,NA,NA,Great Cormorant,Phalacrocorax_carbo,Phalacrocorax,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Japanese Cormorant,Phalacrocorax_capillatus,Phalacrocorax,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Cape Cormorant,Phalacrocorax_capensis,Phalacrocorax,EN,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Socotra Cormorant,Phalacrocorax_nigrogularis,Phalacrocorax,VU,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Bank Cormorant,Phalacrocorax_neglectus,Phalacrocorax,EN,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Indian Cormorant,Phalacrocorax_fuscicollis,Phalacrocorax,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Little Black Cormorant,Phalacrocorax_sulcirostris,Phalacrocorax,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Black-faced Cormorant,Phalacrocorax_fuscescens,Phalacrocorax,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Great Pied Cormorant,Phalacrocorax_varius,Phalacrocorax,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Spotted Shag,Phalacrocorax_punctatus,Phalacrocorax,LC,Stictocarbo punctatus
SULIFORMES,Phalacrocoracidae,NA,NA,Pitt Island Shag,Phalacrocorax_featherstoni,Phalacrocorax,EN,NA
CHARADRIIFORMES,Scolopacidae,Tringinae,Phalaropodini,Wilson's Phalarope,Steganopus_tricolor,Steganopus,LC,Phalaropus tricolor
CHARADRIIFORMES,Scolopacidae,Tringinae,Phalaropodini,Red-necked Phalarope,Phalaropus_lobatus,Phalaropus,LC,NA
CHARADRIIFORMES,Scolopacidae,Tringinae,Phalaropodini,Red Phalarope,Phalaropus_fulicarius,Phalaropus,LC,Phalaropus fulicaria
CHARADRIIFORMES,Laridae,Anoinae,NA,Brown Noddy,Anous_stolidus,Anous,LC,NA
CHARADRIIFORMES,Laridae,Anoinae,NA,Lesser Noddy,Anous_tenuirostris,Anous,LC,NA
CHARADRIIFORMES,Laridae,Anoinae,NA,Black Noddy,Anous_minutus,Anous,LC,NA
CHARADRIIFORMES,Laridae,Anoinae,NA,Blue Noddy,Anous_ceruleus,Anous,LC,Procelsterna cerulea
CHARADRIIFORMES,Laridae,Anoinae,NA,Grey Noddy,Anous_albivittus,Anous,LC,Procelsterna albivitta
CHARADRIIFORMES,Laridae,Gyginae,NA,Atlantic White Tern,Gygis_alba,Gygis,LC,NA
CHARADRIIFORMES,Laridae,Rynchopinae,NA,Black Skimmer,Rynchops_niger,Rynchops,LC,Rhynchops niger
CHARADRIIFORMES,Laridae,Rynchopinae,NA,African Skimmer,Rynchops_flavirostris,Rynchops,LC,NA
CHARADRIIFORMES,Laridae,Rynchopinae,NA,Indian Skimmer,Rynchops_albicollis,Rynchops,EN,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Saunders's Gull,Saundersilarus_saundersi,Saundersilarus,VU,Larus saundersi
CHARADRIIFORMES,Laridae,Larinae,NA,Little Gull,Hydrocoloeus_minutus,Hydrocoloeus,LC,Larus minutus
CHARADRIIFORMES,Laridae,Larinae,NA,Ross's Gull,Rhodostethia_rosea,Rhodostethia,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Swallow-tailed Gull,Creagrus_furcatus,Creagrus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Sabine's Gull,Xema_sabini,Xema,LC,Larus sabini
CHARADRIIFORMES,Laridae,Larinae,NA,Ivory Gull,Pagophila_eburnea,Pagophila,NT,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Red-legged Kittiwake,Rissa_brevirostris,Rissa,VU,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Black-legged Kittiwake,Rissa_tridactyla,Rissa,VU,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Bonaparte's Gull,Larus_philadelphia,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Slender-billed Gull,Larus_genei,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Brown-headed Gull,Larus_brunnicephalus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Black-headed Gull,Larus_ridibundus,Larus,LC,Chroicocephalus ridibundus
CHARADRIIFORMES,Laridae,Larinae,NA,Andean Gull,Larus_serranus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Brown-hooded Gull,Larus_maculipennis,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Hartlaub's Gull,Larus_hartlaubii,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Grey-headed Gull,Larus_cirrocephalus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Silver Gull,Larus_novaehollandiae,Larus,LC,Larus scopulinus
CHARADRIIFORMES,Laridae,Larinae,NA,Black-billed Gull,Larus_bulleri,Larus,NT,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Grey Gull,Larus_modestus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Dolphin Gull,Larus_scoresbii,Larus,LC,Larus scoresbii; Gabianus scoresbii; Leucophaeus scoresbii
CHARADRIIFORMES,Laridae,Larinae,NA,Franklin's Gull,Larus_pipixcan,Larus,LC,Leucophaeus pipixcan
CHARADRIIFORMES,Laridae,Larinae,NA,Laughing Gull,Larus_atricilla,Larus,LC,Leucophaeus atricilla
CHARADRIIFORMES,Laridae,Larinae,NA,Lava Gull,Larus_fuliginosus,Larus,VU,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Pallas's Gull,Larus_ichthyaetus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Relict Gull,Larus_relictus,Larus,VU,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Mediterranean Gull,Larus_melanocephalus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Sooty Gull,Larus_hemprichii,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,White-eyed Gull,Larus_leucophthalmus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Audouin's Gull,Larus_audouinii,Larus,VU,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Heermann's Gull,Larus_heermanni,Larus,NT,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Pacific Gull,Larus_pacificus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Black-tailed Gull,Larus_crassirostris,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Belcher's Gull,Larus_belcheri,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Olrog's Gull,Larus_atlanticus,Larus,NT,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Ring-billed Gull,Larus_delawarensis,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Mew Gull,Larus_canus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Yellow-footed Gull,Larus_livens,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Western Gull,Larus_occidentalis,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,California Gull,Larus_californicus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Kelp Gull,Larus_dominicanus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Lesser Black-backed Gull,Larus_fuscus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,European Herring Gull,Larus_argentatus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Armenian Gull,Larus_armenicus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Yellow-legged Gull,Larus_michahellis,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Caspian Gull,Larus_cachinnans,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Iceland Gull,Larus_glaucoides,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Slaty-backed Gull,Larus_schistisagus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Glaucous-winged Gull,Larus_glaucescens,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Glaucous Gull,Larus_hyperboreus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Great Black-backed Gull,Larus_marinus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Aleutian Tern,Onychoprion_aleuticus,Onychoprion,VU,Onychoprion aleuticus; Sterna aleutica
CHARADRIIFORMES,Laridae,Sterninae,NA,Sooty Tern,Onychoprion_fuscatus,Onychoprion,LC,Onychoprion fuscatus; Sterna fuscata
CHARADRIIFORMES,Laridae,Sterninae,NA,Bridled Tern,Onychoprion_anaethetus,Onychoprion,LC,Onychoprion anaethetus; Sterna anaethetus
CHARADRIIFORMES,Laridae,Sterninae,NA,Grey-backed Tern,Onychoprion_lunatus,Onychoprion,LC,Onychoprion lunatus; Sterna lunata
CHARADRIIFORMES,Laridae,Sterninae,NA,Little Tern,Sternula_albifrons,Sternula,LC,Sternula albifrons; Sterna albifrons
CHARADRIIFORMES,Laridae,Sterninae,NA,Saunders's Tern,Sternula_saundersi,Sternula,LC,Sterna saundersi
CHARADRIIFORMES,Laridae,Sterninae,NA,Least Tern,Sternula_antillarum,Sternula,LC,Sternula antillarum; Sterna antillarum
CHARADRIIFORMES,Laridae,Sterninae,NA,Yellow-billed Tern,Sternula_superciliaris,Sternula,LC,Sternula superciliaris; Sterna superciliaris
CHARADRIIFORMES,Laridae,Sterninae,NA,Peruvian Tern,Sternula_lorata,Sternula,EN,Sterna lorata
CHARADRIIFORMES,Laridae,Sterninae,NA,Fairy Tern,Sternula_nereis,Sternula,VU,Sterna nereis
CHARADRIIFORMES,Laridae,Sterninae,NA,Damara Tern,Sternula_balaenarum,Sternula,LC,Sterna balaenarum
CHARADRIIFORMES,Laridae,Sterninae,NA,Large-billed Tern,Phaetusa_simplex,Phaetusa,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Common Gull-billed Tern,Gelochelidon_nilotica,Gelochelidon,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Australian Gull-billed Tern,Gelochelidon_macrotarsa,Gelochelidon,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Caspian Tern,Hydroprogne_caspia,Hydroprogne,LC,Hydroprogne caspia; Sterna caspia
CHARADRIIFORMES,Laridae,Sterninae,NA,Inca Tern,Larosterna_inca,Larosterna,NT,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Black-fronted Tern,Chlidonias_albostriatus,Chlidonias,EN,Sterna albostriata; Chlidonias albostriatus; Hydrochelidon albostriata
CHARADRIIFORMES,Laridae,Sterninae,NA,Whiskered Tern,Chlidonias_hybrida,Chlidonias,LC,Chlidonias hybridus
CHARADRIIFORMES,Laridae,Sterninae,NA,White-winged Tern,Chlidonias_leucopterus,Chlidonias,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Black Tern,Chlidonias_niger,Chlidonias,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,River Tern,Sterna_aurantia,Sterna,VU,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Roseate Tern,Sterna_dougallii,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,White-fronted Tern,Sterna_striata,Sterna,NT,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Black-naped Tern,Sterna_sumatrana,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,South American Tern,Sterna_hirundinacea,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Common Tern,Sterna_hirundo,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,White-cheeked Tern,Sterna_repressa,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Arctic Tern,Sterna_paradisaea,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Antarctic Tern,Sterna_vittata,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Kerguelen Tern,Sterna_virgata,Sterna,NT,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Forster's Tern,Sterna_forsteri,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Snowy-crowned Tern,Sterna_trudeaui,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Black-bellied Tern,Sterna_acuticauda,Sterna,EN,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Lesser Crested Tern,Thalasseus_bengalensis,Thalasseus,LC,Thalasseus bengalensis; Sterna bengalensis
CHARADRIIFORMES,Laridae,Sterninae,NA,Chinese Crested Tern,Thalasseus_bernsteini,Thalasseus,CR,Sterna bernsteini
CHARADRIIFORMES,Laridae,Sterninae,NA,Elegant Tern,Thalasseus_elegans,Thalasseus,NT,Thalasseus elegans; Sterna elegans
CHARADRIIFORMES,Laridae,Sterninae,NA,Sandwich Tern,Thalasseus_sandvicensis,Thalasseus,LC,Thalasseus sandvicensis; Sterna sandvicensis
CHARADRIIFORMES,Laridae,Sterninae,NA,Royal Tern,Thalasseus_maximus,Thalasseus,LC,Thalasseus maximus; Sterna maxima
CHARADRIIFORMES,Laridae,Sterninae,NA,Greater Crested Tern,Thalasseus_bergii,Thalasseus,LC,Thalasseus bergii; Sterna bergii
CHARADRIIFORMES,Stercorariidae,NA,NA,Long-tailed Jaeger,Stercorarius_longicaudus,Stercorarius,LC,NA
CHARADRIIFORMES,Stercorariidae,NA,NA,Arctic Jaeger,Stercorarius_parasiticus,Stercorarius,LC,NA
CHARADRIIFORMES,Stercorariidae,NA,NA,Pomarine Jaeger,Stercorarius_pomarinus,Stercorarius,LC,NA
CHARADRIIFORMES,Stercorariidae,NA,NA,Great Skua,Catharacta_skua,Catharacta,LC,Stercorarius skua
CHARADRIIFORMES,Stercorariidae,NA,NA,South Polar Skua,Catharacta_maccormicki,Catharacta,LC,Stercorarius maccormicki
CHARADRIIFORMES,Stercorariidae,NA,NA,Brown Skua,Catharacta_antarctica,Catharacta,LC,Catharacta lonnbergi; Stercorarius lonnbergi
CHARADRIIFORMES,Stercorariidae,NA,NA,Chilean Skua,Catharacta_chilensis,Catharacta,LC,Stercorarius chilensis
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Rhinoceros Auklet,Cerorhinca_monocerata,Cerorhinca,LC,NA
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Tufted Puffin,Fratercula_cirrhata,Fratercula,LC,Lunda cirrhata
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Atlantic Puffin,Fratercula_arctica,Fratercula,VU,NA
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Horned Puffin,Fratercula_corniculata,Fratercula,LC,NA
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Cassin's Auklet,Ptychoramphus_aleuticus,Ptychoramphus,NT,NA
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Parakeet Auklet,Aethia_psittacula,Aethia,LC,Cyclorrhynchus psittacula
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Least Auklet,Aethia_pusilla,Aethia,LC,NA
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Whiskered Auklet,Aethia_pygmaea,Aethia,LC,NA
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Crested Auklet,Aethia_cristatella,Aethia,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Long-billed Murrelet,Brachyramphus_perdix,Brachyramphus,NT,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Marbled Murrelet,Brachyramphus_marmoratus,Brachyramphus,EN,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Kittlitz's Murrelet,Brachyramphus_brevirostris,Brachyramphus,NT,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Black Guillemot,Cepphus_grylle,Cepphus,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Pigeon Guillemot,Cepphus_columba,Cepphus,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Spectacled Guillemot,Cepphus_carbo,Cepphus,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Ancient Murrelet,Synthliboramphus_antiquus,Synthliboramphus,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Japanese Murrelet,Synthliboramphus_wumizusume,Synthliboramphus,VU,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Scripps's Murrelet,Synthliboramphus_scrippsi,Synthliboramphus,VU,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Guadalupe Murrelet,Synthliboramphus_hypoleucus,Synthliboramphus,EN,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Craveri's Murrelet,Synthliboramphus_craveri,Synthliboramphus,VU,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Razorbill,Alca_torda,Alca,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Great Auk,Pinguinus_impennis,Pinguinus,EX,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Little Auk,Alle_alle,Alle,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Thick-billed Murre,Uria_lomvia,Uria,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Common Murre,Uria_aalge,Uria,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,NA,Pterodroma_occulta,Pterodroma,NR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,NA,Puffinus_baroli,Puffinus,NR,NA
SULIFORMES,Phalacrocoracidae,NA,NA,NA,Phalacrocorax_georgianus,Phalacrocorax,NR,NA
SULIFORMES,Phalacrocoracidae,NA,NA,NA,Phalacrocorax_bransfieldensis,Phalacrocorax,NR,NA
